Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2014-01-02T00:00:00.000Z,"6,749.10","6,867.40","6,421.30","6,510.40",-3.54,-4.05,"15,18,32,03,400"
2014-02-03T00:00:00.000Z,"6,510.40","6,866.40","6,416.70","6,809.70",4.6,4.08,"17,29,88,37,700"
2014-03-03T00:00:00.000Z,"6,809.70","6,827.20","6,492.60","6,598.40",-3.1,-3.62,"18,32,87,22,100"
2014-03-31T23:00:00.000Z,"6,598.40","6,794.90","6,507.10","6,780.00",2.75,2.24,"15,49,87,92,200"
2014-04-30T23:00:00.000Z,"6,780.00","6,894.90","6,766.80","6,844.50",0.95,0.44,"13,89,48,05,500"
2014-06-01T23:00:00.000Z,"6,844.50","6,879.00","6,701.60","6,743.90",-1.47,-1.98,"12,75,84,65,400"
2014-06-30T23:00:00.000Z,"6,743.90","6,875.30","6,643.60","6,730.10",-0.2,-0.72,"13,16,86,89,700"
2014-07-31T23:00:00.000Z,"6,730.10","6,831.20","6,528.70","6,819.80",1.33,0.82,"10,85,08,19,300"
2014-08-31T23:00:00.000Z,"6,819.80","6,904.90","6,601.60","6,622.70",-2.89,-3.4,"15,41,73,22,100"
2014-09-30T23:00:00.000Z,"6,622.70","6,622.80","6,072.70","6,546.50",-1.15,-1.66,"20,15,84,14,000"
2014-11-03T00:00:00.000Z,"6,546.50","6,773.10","6,444.90","6,722.60",2.69,2.18,"14,26,63,58,300"
2014-12-01T00:00:00.000Z,"6,722.60","6,753.20","6,144.70","6,566.10",-2.33,-2.84,"13,98,94,69,200"
2015-01-02T00:00:00.000Z,"6,566.10","6,865.00","6,298.20","6,749.40",2.79,2.28,"15,64,45,96,100"
2015-02-02T00:00:00.000Z,"6,749.40","6,967.20","6,732.00","6,946.70",2.92,2.41,"14,35,85,63,900"
2015-03-02T00:00:00.000Z,"6,946.70","7,065.10","6,693.80","6,773.00",-2.5,-3.01,"17,39,13,81,400"
2015-03-31T23:00:00.000Z,"6,773.00","7,122.70","6,765.40","6,960.60",2.77,2.26,"14,64,49,91,100"
2015-04-30T23:00:00.000Z,"6,960.60","7,083.70","6,810.10","6,984.40",0.34,-0.17,"15,31,82,87,400"
2015-05-31T23:00:00.000Z,"6,984.40","7,037.60","6,521.00","6,521.00",-6.63,-7.15,"16,01,23,77,600"
2015-06-30T23:00:00.000Z,"6,521.00","6,813.40","6,430.40","6,696.30",2.69,2.18,"15,43,51,32,500"
2015-08-02T23:00:00.000Z,"6,696.30","6,764.80","5,768.20","6,247.90",-6.7,-7.21,"17,16,58,06,900"
2015-08-31T23:00:00.000Z,"6,247.90","6,284.20","5,877.10","6,061.60",-2.98,-3.49,"17,97,34,31,900"
2015-09-30T23:00:00.000Z,"6,061.60","6,487.90","6,051.60","6,361.10",4.94,4.43,"15,35,78,71,100"
