code,country,January,February,March,April,May,June,July,August,September,October,November,December
ABW,Aruba,102.5,103.6,104.5,104.3,104.7,105.2,106.4,105.9,105.7,105.5,105.9,106.6
AFG,Afghanistan,148,147.2,146.6,145.5,145.3,145.2,145.4,145.3,145.9,147.3,148.2,148.5
AGO,Angola,300.4,304.1,308.6,312.3,316.3,320.3,324.3,328.2,337.1,341.7,346.2,351.1
ALB,Albania,117.5,118.5,118.8,118.2,116.8,116.8,116.5,116.9,117.2,117,116.7,117.9
ARE,United Arab Emirates,118,117.8,117,116.8,116.7,117.2,117.1,117.3,116.6,116,115.7,115.3
ARG,Argentina,127,130.1,133.1,136.8,139.6,144.8,149.3,155.1,165.2,174.1,179.6,184.3
ARM,Armenia,130.1,129.5,129.6,129.2,127.9,125.8,124.3,125,125.5,125.6,126.9,128.8
ATG,Antigua and Barbuda,103.7,103.8,103.5,102.4,100.8,99.6,100.2,100.5,100.6,101.6,103.1,105
AUT,Austria,103.6,103.9,104.5,104.7,104.9,105.1,104.9,104.9,105.7,106,106.2,106.3
AZE,Azerbaijan,152.7,153,153.3,153,152.9,151.9,151,152.3,152.7,153,153.9,155.1
BDI,Burundi,187.6,186.3,185.5,186.6,187.9,186.1,184.3,182.5,179.2,176.7,178.9,178.9
BEL,Belgium,105.1,105.3,105.4,105.7,106,106.1,106.5,106.6,106.6,107.3,107.5,107.3
BEN,Benin,110.9,111.8,110.8,111.9,113.1,114.4,113.8,110,109.8,110.5,110.3,110.8
BFA,Burkina Faso,109.9,110.2,110.6,111.7,112.1,113.6,114.5,113.3,113.7,112.4,110.8,110.7
BGD,Bangladesh,167.7,167.5,168,168.2,166.1,166.8,168.7,171,174.1,175.1,174.4,174.4
BGR,Bulgaria,109.6,110,109.7,110.1,110.5,110.5,111.3,111.4,111.6,112.4,112.3,112.3
BHR,Bahrain,116.4,117.3,117.9,117.8,117.8,118.5,118.8,118.2,117.3,117.3,117.2,116.8
BHS,Bahamas,111.7,112.1,111.7,111.9,112.5,112.9,114.9,114.9,114.8,114.9,114.5,113.9
BIH,Bosnia and Herzegovina,103.3,104.4,104.7,104.3,104.4,104.4,103.7,103.6,104,105,105.1,104.8
BLR,Belarus,470.5,474.8,478.5,479.9,478.5,480.6,479.8,480.4,484.3,486.8,489.5,493.3
BLZ,Belize,100.2,99.7,99.7,99.9,99.9,100.2,100.2,100.6,100.6,100.5,100.3,100.2
BOL,Bolivia,145.1,145.5,145.3,145.1,145.3,145.5,145.5,145.8,145.6,145.9,146.3,146.8
BRA,Brazil,114.4,114.8,114.9,115.1,115.6,117,117.4,117.3,117.9,118.4,118.2,118.3
BRB,Barbados,128.3,129.1,128.4,127,127.5,128.6,129.5,128.9,128.7,128.9,130.4,130.3
BRN,Brunei Darussalam,99.1,99.4,99.7,99.5,99.5,99.1,99.5,99.5,99.7,99.4,99.3,99.2
BWA,Botswana,143.2,143.6,143.8,145.8,145.9,145.9,146,146,146,147,147.6,147.7
CAF,Central African Republic,146.1,145.9,146.2,146.8,147.8,146.1,146.4,147.5,147.2,148.5,150.6,154.7
CAN,Canada,104.1,104.7,105,105.3,105.4,105.6,106.1,106,105.6,106,105.5,105.4
CHE,Switzerland,100.1,100.5,100.8,101,101.4,101.4,101.2,101.2,101.2,101.4,101.2,100.9
CHL,Chile,107.4,107.5,107.7,108,108.3,108.4,108.8,109,109.4,109.8,109.8,109.7
CHN,China,120.9,122.4,121,120.8,120.6,120.6,120.9,121.7,122.5,122.7,122.3,122.4
CIV,Cote d'Ivoire,112.5,112.2,112.9,113.1,112.4,113.2,113.2,113.3,112.6,112.8,112.6,113.5
CMR,Cameroon,114.9,114.8,114.9,115.3,115.5,115.5,115.7,115.8,116.3,116.8,117,117.3
COD,"Congo, Dem. Rep.",,,,,,,,,,,,
COG,"Congo, Rep.",121.7,121.6,121.7,121.8,121.8,121.9,122.2,122.3,122.2,122.4,122.4,122.7
COL,Colombia,114,114.8,115.1,115.6,115.9,116.1,115.9,116.1,116.3,116.4,116.5,116.9
COM,Comoros,,,,,,,,,,,,
CPV,Cabo Verde,108.6,108.8,108.7,108.7,108.8,109.3,109.8,109.5,109.6,110,110,109.7
CRI,Costa Rica,125.6,125.8,125.8,125.7,125.6,125.8,126.1,126,126.3,126.8,127.3,127.6
CUW,Curacao,111.2,111.3,111.7,111.9,111.8,112.4,112.8,113.1,113.4,113.3,113.7,114.4
CYP,Cyprus,99.5,100.3,101,101.6,102.7,103.2,102.1,102.7,103.6,104.1,103.9,102.5
CZE,Czech Republic,104.5,104.5,104.4,104.7,105.2,105.6,105.8,105.9,105.6,106,105.9,106
DEU,Germany,102,102.3,102.9,103.1,103.9,104,104.4,104.5,104.7,104.9,104.2,104.2
DJI,Djibouti,115.9,115.7,116,116.2,116.3,115.9,116.5,116.7,116.1,116.3,117.2,117.7
DMA,Dominica,103.6,102.4,102.2,102.8,102.8,103.6,104.1,104,104.8,105.5,105.4,105.1
DNK,Denmark,101,101.7,101.7,102.2,102.4,102.3,103.1,102.7,102.4,102.7,102.4,102.1
DOM,Dominican Republic,128.8,128.6,129.1,129.6,130,130.2,130.2,130.3,130.4,130.6,130.2,129.9
DZA,Algeria,145.8,144.9,146,146.9,149.5,151.2,148.3,148.9,149.4,151.2,150.5,149
ECU,Ecuador,123.8,124,124.1,123.9,123.7,123.3,123.3,123.7,124.2,124.1,123.8,123.9
EGY,"Egypt, Arab Rep.",245.4,246.1,248.5,252.3,252.7,261.5,267.8,272.6,279.5,286.7,284.5,274.9
ESP,Spain,101.9,102,102.1,103,103.9,104.2,103.4,103.6,103.8,104.8,104.7,104.2
EST,Estonia,104.8,105.8,105.8,106.2,106.5,107.5,107.7,108.2,108.2,108.7,108.2,107.9
ETH,Ethiopia,263.8,264.9,270.3,270.9,274.4,280.6,284.1,284.8,288,287.2,284.1,288.8
FIN,Finland,101.2,101.5,101.7,102,102.1,102.3,102.2,102.4,102.6,102.8,102.8,102.7
FJI,Fiji,126.7,127.5,128.1,130.3,130.8,129.8,130.4,130.5,131.1,131.9,131.4,131.5
FRA,France,101.8,101.7,102.8,102.9,103.4,103.4,103.3,103.8,103.6,103.7,103.5,103.5
GAB,Gabon,115.2,116.9,117.2,118.5,119.3,120.6,120.8,121,120.8,121.9,122.1,121.8
GBR,United Kingdom,104.5,104.9,105.1,105.5,105.9,105.9,105.9,106.5,106.6,106.7,106.9,107.1
GEO,Georgia,127.8,128,127.6,127.3,127.3,126.4,126.1,126.7,127.1,127.5,128.4,129
GHA,Ghana,254.1,254.7,255.7,257.4,258.9,260.5,261.4,262,262.3,263,263.7,265.1
GIN,Guinea,228.8,231,233.2,235.5,237.3,239.2,242.3,243.4,245.9,247.1,248.6,250
GMB,"Gambia, The",156.8,157.6,158.4,159.3,160,160.8,161.7,162.7,163.3,164.1,164.6,165.7
GNB,Guinea-Bissau,110.6,111,109.9,111.1,113.6,113,112.7,113.2,113.5,114.2,113,113.6
GNQ,Equatorial Guinea,121.1,120.7,120.3,121.3,121.5,121.5,123.7,123.2,123.7,124.3,124.3,124.2
GRC,Greece,99.1,99.1,100.5,101.5,101.1,102.1,100.3,100,102,102.8,101.2,101.3
GRD,Grenada,106.8,106.9,106.8,106.9,107.1,107.5,107.5,107.5,108,108,107.9,108.2
GTM,Guatemala,136,135.8,136.1,136.1,136.8,137.6,138.1,138.7,139.5,140,139.6,139.7
GUY,Guyana,113.9,113.1,112.5,112.5,113,113.8,113.6,114.4,114.5,114.9,114.9,114.7
HKG,"Hong Kong SAR, China",129.1,130.7,130.3,130.2,130.3,130.6,131,131.1,131.4,131.7,131.9,132.3
